condition_id,study_id,paper_cond_id,paper_study_id
50,50,1,1
98,98,2,2
156,156,3,3
159,159,4,4
163,163,5,5
168,168,6,6
169,169,7,7
172,163,8,5
175,175,9,8
176,176,10,9
177,176,11,9
178,176,12,9
179,179,13,10
180,156,14,3
181,156,15,3
182,182,16,11
183,183,17,12
187,187,18,13
188,188,19,14
196,156,20,3
203,168,21,6
205,205,22,15
210,210,23,16
212,212,24,17
214,212,25,17
215,215,26,18
216,215,27,18
217,217,28,19
218,218,29,20
220,220,30,21
221,221,31,22
222,217,32,19
225,225,33,23
226,226,34,24
227,227,35,25
228,228,36,26
